Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
1,Stephen Gostkowski NE,11,1,3,1.4,0.6,1,0,1
2,Justin Tucker BAL,10,1,13,2.7,1.6,3,1,1
3,Greg Zuerlein LAR,12,1,6,2.6,1.2,2,-1,1
4,Matt Bryant ATL,8,2,11,4.9,1.9,5,1,2
5,Wil Lutz NO,6,2,14,5.7,2,4,-1,2
6,Jake Elliott PHI,9,1,17,7,2.8,6,0,2
7,Matt Prater DET,6,4,19,8,2.8,11,4,2
8,Chris Boswell PIT,7,3,27,9,3.3,8,0,2
9,Harrison Butker KC,12,2,22,9.4,3.3,7,-2,3
10,Dan Bailey DAL,8,3,28,10.5,4.2,9,-1,3
11,Mason Crosby GB,7,5,25,10.8,2.9,12,1,3
12,Robbie Gould SF,11,5,28,12.6,3.9,10,-2,3
13,Graham Gano CAR,4,9,23,13.9,2.7,15,2,3
14,Adam Vinatieri IND,9,6,24,14,3.6,13,-1,3
15,Ryan Succop TEN,8,4,27,15,3.7,23,8,3
16,Kai Forbath MIN,10,5,34,14.9,4.4,14,-2,4
17,Brandon McManus DEN,10,4,25,16.4,3.6,17,0,4
18,Josh Lambo JAC,9,1,25,16.4,4.4,16,-2,4
19,Ka'imi Fairbairn HOU,10,3,25,18.4,3.8,22,3,4
20,Cairo Santos NYJ,11,5,32,21.1,5.9,20,0,4
21,Steven Hauschka BUF,11,2,32,21,5,19,-2,4
22,Caleb Sturgis LAC,8,12,31,19.8,4.3,27,5,4
23,Daniel Carlson MIN,10,9,27,18.1,4.5,18,-5,4
24,Blair Walsh FA,,4,35,18.1,7.9,,,5
25,Phil Dawson ARI,9,12,31,21.9,4.1,26,1,5
26,Dustin Hopkins WAS,4,12,31,21.9,4.1,24,-2,5
27,Chandler Catanzaro TB,5,13,31,23.9,4.2,28,1,5
28,Cody Parkey CHI,5,16,33,25.1,4.2,,,5
29,Sebastian Janikowski SEA,7,17,32,23.6,3.2,21,-8,5
30,Giorgio Tavecchio FA,,16,31,26,3.6,31,1,6
31,Younghoe Koo FA,,18,19,18.5,0.5,25,-6,6
32,Randy Bullock CIN,9,19,32,27.3,3.1,,,6
33,Aldrick Rosas NYG,9,20,32,27.4,3.3,,,6
34,Eddy Pineiro OAK,7,20,33,27.9,4.4,,,6
35,Mike Nugent OAK,7,22,34,28.6,4.3,,,6
36,Zane Gonzalez CLE,11,21,33,29.3,2.9,30,-6,6
37,Jason Sanders MIA,11,24,34,29.9,2.5,,,6
38,Roberto Aguayo LAC,8,21,35,30.3,6.6,29,-9,6
39,Jason Myers SEA,7,26,36,31.7,4.2,,,6
40,Nick Folk FA,,30,37,33.5,3.5,,,6
41,Nick Novak FA,,33,34,33.5,0.5,,,6